Player,Position,Session,Total Distance (m),RPE,Avg Speed (m/min),Top Speed (m/s),Sprint Distance (m)
Ellie,M,1/10 Pre Game,1240.0,,47.69230769230769,6.0,0.0
Ellie,M,1/10 九州 1,1120.0,,65.88235294117646,8.4,22.0
Ellie,M,1/10 九州 2,970.0,,64.66666666666667,7.3,35.0
Ellie,M,1/10 九州 3,1010.0,,59.411764705882355,7.5,9.0
Ellie,M,1/10 九州 4,990.0,,61.875,8.1,15.0
Ellie,M,1/10 九州 5,630.0,,42.0,6.2,1.0
Ellie,M,1/10 Total,4720.0,,59.0,8.4,82.0
Ellie,M,1/11 Pre Game,2190.0,,43.8,6.0,0.0
Ellie,M,1/11 福岡 1,1110.0,,65.29411764705883,6.0,0.0
Ellie,M,1/11 福岡 2,860.0,,53.75,7.5,21.0
Ellie,M,1/11 福岡 3,1090.0,,68.125,9.0,24.0
Ellie,M,1/11 福岡 4,1090.0,,60.55555555555556,6.4,4.0
Ellie,M,1/11 福岡 5,720.0,,51.42857142857143,5.6,0.0
Ellie,M,1/11 福岡 6,770.0,,45.294117647058826,7.0,7.0
Ellie,M,1/11 福岡 7,720.0,,55.38461538461539,6.0,0.0
Ellie,M,1/11 福岡 8,770.0,,51.333333333333336,6.9,3.0
Ellie,M,1/11 Total,7130.0,,56.58730158730159,9.0,59.0
Dora,M,3/17 HK 1,5510.0,,55.1,8.5,50.0
Dora,M,3/17 HK 2,670.0,,47.857142857142854,5.6,0.0
Dora,M,3/17 Total,6180.0,,54.21052631578947,8.5,50.0
Dora,M,3/18 明治 1,580.0,,72.5,5.9,0.0
Dora,M,3/18 明治 2,640.0,,80.0,6.8,5.0
Dora,M,3/18 明治 3,580.0,,72.5,7.0,14.0
Dora,M,3/18 明治 4,730.0,,81.11111111111111,5.5,0.0
Dora,M,3/18 Total,2530.0,,76.66666666666667,7.0,19.0
Dora,M,3/19 Revengers 1,840.0,,93.33333333333333,5.4,0.0
Dora,M,3/19 Revengers 2,670.0,,74.44444444444444,5.7,0.0
Dora,M,3/19 Revengers 3,770.0,,85.55555555555556,6.3,6.0
Dora,M,3/19 Revengers 4,730.0,,81.11111111111111,6.8,11.0
Dora,M,3/19 Total,3010.0,,83.61111111111111,6.8,17.0
Angel,D,6/18 1,650.0,,50.0,6.9,6.0
Angel,D,6/18 2,600.0,,35.294117647058826,6.9,2.0
Angel,D,6/18 3,600.0,,40.0,6.9,5.0
Angel,D,6/18 4,730.0,,36.5,6.3,1.0
Angel,D,6/18 total,2580.0,,39.69230769230769,6.9,14.0
Angel,D,6/19 Switzerland 1,250.0,,15.625,2.3,0.0
Angel,D,6/19 Switzerland 2,630.0,,28.636363636363637,7.2,3.0
Angel,D,6/19 Switzerland 3,770.0,,29.615384615384617,7.6,28.0
Angel,D,6/19 Switzerland 4,1030.0,,46.81818181818182,6.4,1.0
Angel,D,6/19 Switzerland total,2680.0,,31.162790697674417,7.6,32.0
Angel,D,6/20 Germany 1,250.0,,15.625,2.6,0.0
Angel,D,6/20 Germany 2,480.0,,24.0,4.7,0.0
Angel,D,6/20 Germany 3,290.0,,22.307692307692307,6.1,1.0
Angel,D,6/20 Germany 4,750.0,,39.473684210526315,6.8,18.0
Angel,D,6/20 Germany total,1770.0,,26.029411764705884,6.8,19.0
Angel,D,6/21 Germany 1,160.0,5.0,12.307692307692308,1.9,0.0
Angel,D,6/21 Germany 2,0.0,5.0,0.0,0.0,0.0
Angel,D,6/21 Germany 3,0.0,5.0,0.0,0.0,0.0
Angel,D,6/21 Germany 4,0.0,5.0,0.0,0.0,0.0
Angel,D,6/21 Germany 5,0.0,5.0,0.0,0.0,0.0
Angel,D,6/21 Germany 6,0.0,5.0,0.0,0.0,0.0
Angel,D,6/21 Germany 7,0.0,5.0,0.0,0.0,0.0
